YEAR,MONTH,BEGIN_TIME,BEGIN_LAT,BEGIN_LON,STATE,EVENT_TYPE,FLOOD_CAUSE,EVENT_NARRATIVE,temperature_2m_mean,wind_speed_10m_mean,cloud_cover_mean,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,rain_sum,pressure_msl_mean,soil_moisture_0_to_10cm_mean,elevation
2005,1,1630,32.76667,-96.6,TEXAS,Normal,,,-1.0842957,16.315512,18.901611,48.716545,-10.720025,0.0,0.0,1040.2693,0.44425306,152.0
2005,1,1700,32.98333,-96.33333,TEXAS,Normal,,,-1.0070682,16.466518,19.62994,48.97985,-10.33793,0.0,0.0,1040.2676,0.3528561,174.0
2005,1,1900,33.36667,-95.68333,TEXAS,Normal,,,-0.49410206,12.933202,22.543903,48.581284,-10.153672,0.0,0.0,1040.1182,0.40163687,150.0
2005,1,1700,32.65,-96.71667,TEXAS,Normal,,,-0.7782941,16.555477,17.908165,47.82827,-10.655105,0.0,0.0,1040.2349,0.44481683,143.0
2004,12,2300,33.58333,-96.18333,TEXAS,Normal,,,3.545333,9.685513,62.638035,73.85744,0.19505876,0.09058508,0.09058508,1026.168,0.35808232,187.0
2004,12,1747,32.16667,-96.75,TEXAS,Normal,,,6.9668965,9.637039,81.10275,78.38165,4.0760536,1.5450637,1.5450637,1025.3877,0.43348747,125.0
2005,2,35,31.71667,-98.98333,TEXAS,Normal,,,17.471548,11.3686495,23.831486,59.16457,9.744704,5.031744,5.031744,1006.40533,0.19304529,411.0
2005,2,706,29.61667,-95.56667,TEXAS,Normal,,,22.773186,20.676802,56.83644,89.60174,21.95403,2.9186695,2.9186695,1009.8343,0.44428363,24.0
2005,2,1200,28.35,-97.16667,TEXAS,Normal,,,4.6288176,23.455587,86.37875,54.049095,-3.4222364,2.643059,2.5282228,1037.6317,0.35962996,16.0
2005,2,1200,28.1,-97.01667,TEXAS,Normal,,,5.267948,27.375858,85.819664,61.595245,-1.6375921,2.2238479,2.1010675,1037.2006,0.34178814,0.0
2005,2,1716,31.41667,-100.36667,TEXAS,Normal,,,19.531712,23.19244,0.0,59.89909,12.664374,0.0,0.0,1003.6416,0.17683485,564.0
2005,2,2040,31.83333,-99.43333,TEXAS,Normal,,,19.040546,22.311644,0.0,64.84798,13.393932,0.0,0.0,1003.2213,0.21768837,527.0
2005,2,2100,31.56667,-99.68333,TEXAS,Normal,,,19.516314,21.071463,0.0,65.13724,13.939421,0.0,0.0,1003.5216,0.30021912,461.0
2005,2,2000,31.68333,-99.95,TEXAS,Normal,,,19.134403,21.01721,0.0,63.800816,13.286723,0.0,0.0,1003.49396,0.22382216,523.0
2005,2,2030,31.5,-99.76667,TEXAS,Normal,,,19.611547,21.071463,0.0,63.836655,13.742389,0.0,0.0,1003.5216,0.28993386,487.0
2005,2,300,29.23333,-98.8,TEXAS,Normal,,,22.479992,15.893048,75.28,81.337494,20.100803,6.040022,6.040022,1006.9172,0.34297782,226.0
2005,1,700,31.2,-95.98333,TEXAS,Normal,,,12.270401,9.285971,88.340225,58.050713,4.0357933,0.0,0.0,1015.37616,0.30919003,98.0
2005,2,100,31.66667,-98.51667,TEXAS,Normal,,,17.626837,11.28957,21.982414,71.946045,13.004178,11.801057,11.801057,1006.58026,0.30406132,475.0
2005,2,2130,30.13333,-99.03333,TEXAS,Normal,,,0.094905764,22.108158,87.062454,29.865723,-15.711855,0.28227526,0.2560442,1041.9241,0.34210593,585.0
2005,3,1730,29.2,-97.46667,TEXAS,Normal,,,7.8901544,21.380207,0.0,51.281982,0.2618277,0.0,0.0,1019.59784,0.41078973,72.0
2005,3,1730,33.36667,-97.41667,TEXAS,Normal,,,13.436341,11.6395,36.93108,49.99701,3.9405231,0.0,0.0,1021.57904,0.37953192,288.0
2005,3,1730,33.26667,-97.26667,TEXAS,Normal,,,13.735398,12.032313,37.842392,50.81801,4.417701,0.0,0.0,1021.65906,0.35449743,214.0
2005,3,1730,29.2,-97.63333,TEXAS,Normal,,,8.151832,20.161163,0.0,50.180115,0.27458322,0.0,0.0,1019.91595,0.39861357,93.0
2005,3,2100,28.95,-97.81667,TEXAS,Normal,,,8.982924,20.711006,0.0,47.21528,-0.20971385,0.0,0.0,1019.8632,0.3700408,84.0
2005,3,2100,29.45,-96.95,TEXAS,Normal,,,6.711499,22.125809,0.0,55.310143,0.15589868,0.0,0.0,1019.4228,0.3424066,64.0
2005,4,600,30.75,-98.66667,TEXAS,Normal,,,30.73502,19.633879,7.2327614,43.985664,17.464783,0.0,0.0,1004.9646,0.15825506,302.0
2005,4,530,30.31667,-98.93333,TEXAS,Normal,,,29.168795,19.383238,8.808605,42.91519,15.405601,0.0,0.0,1006.20044,0.25174767,598.0
2005,4,1730,30.7,-98.95,TEXAS,Normal,,,31.019636,11.585568,19.33421,38.161083,14.567952,0.0,0.0,1002.7543,0.1557826,365.0
